song,mood,tempo,song_path
Jab Tak, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jab Tak.mp3
Tum Hi Ho (Sad Piano Version), Sad,58,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Sad Piano Version).mp3
Tere Bin, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tere Bin.mp3
Pee Loon (Acoustic), Reflective,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pee Loon (Acoustic).mp3
Phir Bhi Tumko Chaahunga, Romantic,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Phir Bhi Tumko Chaahunga.mp3
Ae Zindagi Gale Laga Le, Calm,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ae Zindagi Gale Laga Le.mp3
Tera Ban Jaunga (Acoustic), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Acoustic).mp3
Agar Tum Saath Ho (Unplugged), Reflective,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Agar Tum Saath Ho (Unplugged).mp3
Tum Hi Ho (Aashiqui 2), Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Aashiqui 2).mp3
Pee Loon (Reprise), Romantic,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pee Loon (Reprise).mp3
Maiyya Yashoda (Thumri), Calm,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Maiyya Yashoda (Thumri).mp3
Phir Mohabbat, Reflective,78,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Phir Mohabbat.mp3
Tum Jo Aaye (Acoustic), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Acoustic).mp3
Tu Jo Mila, Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tu Jo Mila.mp3
Kyun Na Mere, Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kyun Na Mere.mp3
Tum Hi Ho (MTV Unplugged), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (MTV Unplugged).mp3
Jeene Laga Hoon (Acoustic), Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Acoustic).mp3
Tum Se Hi (Reprise), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Se Hi (Reprise).mp3
Yeh Kya Hua, Reflective,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yeh Kya Hua.mp3
Tera Ban Jaunga (Loveyatri), Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Loveyatri).mp3
Jab Koi Baat Bigad Jaye (Jurassic Park Version), Reflective,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jab Koi Baat Bigad Jaye (Jurassic Park Version).mp3
Pal Pal Dil Ke Paas (Unplugged), Reflective,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pal Pal Dil Ke Paas (Unplugged).mp3
Kahin Door Jab Din Dhal Jaye, Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kahin Door Jab Din Dhal Jaye.mp3
Aahatein (Agnee), Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Aahatein (Agnee).mp3
Phir Le Aaya Dil (Reprise), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Phir Le Aaya Dil (Reprise).mp3
Tera Yaar Hoon Main, Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Yaar Hoon Main.mp3
Bolna, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bolna.mp3
Tum Hi Ho (Spanish Version), Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Spanish Version).mp3
Tum Mile (Sad Version), Sad,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Sad Version).mp3
Muskurane (Unplugged), Reflective,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Muskurane (Unplugged).mp3
Phir Kabhi, Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Phir Kabhi.mp3
Kyun Rabba, Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kyun Rabba.mp3
Jiyein Kyun, Reflective,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jiyein Kyun.mp3
Raabta (Kehte Hain Khuda Ne), Romantic,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Raabta (Kehte Hain Khuda Ne).mp3
Raabta (Night In A Motel), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Raabta (Night In A Motel).mp3
Yahin Hoon Main, Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yahin Hoon Main.mp3
Kahin To Hogi Woh (Unplugged), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kahin To Hogi Woh (Unplugged).mp3
Saibo, Romantic,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Saibo.mp3
Tera Hone Laga Hoon (Sad Version), Sad,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Hone Laga Hoon (Sad Version).mp3
Tum Hi Aana (Unplugged), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Aana (Unplugged).mp3
Yun Hi Chala Chal, Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Yun Hi Chala Chal.mp3
Ae Mere Humsafar (Baazigar), Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Ae Mere Humsafar (Baazigar).mp3
Tum Jo Aaye (Sad Version), Sad,60,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Sad Version).mp3
Iktara, Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Iktara.mp3
Tum Mile (Acoustic), Reflective,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Acoustic).mp3
Bol Do Na Zara, Romantic,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bol Do Na Zara.mp3
Tum Hi Ho (English Remix), Romantic,90,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (English Remix).mp3
Pal Pal Dil Ke Paas (Kishore Kumar), Romantic,80,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Pal Pal Dil Ke Paas (Kishore Kumar).mp3
Dil Ibaadat, Reflective,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Dil Ibaadat.mp3
Kahin To, Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kahin To.mp3
Mann Ki Lagan, Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Mann Ki Lagan.mp3
Kabira (MTV Unplugged), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Kabira (MTV Unplugged).mp3
Zara Zara (Unplugged), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Zara Zara (Unplugged).mp3
Tum Jo Aaye (Unplugged), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Unplugged).mp3
Jeene Laga Hoon (Unplugged), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Unplugged).mp3
Tum Mile (Chillout Mix), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Chillout Mix).mp3
Agar Tum Saath Ho (Piano Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Agar Tum Saath Ho (Piano Version).mp3
Tera Ban Jaunga (Piano Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Piano Version).mp3
Tum Hi Ho (Flute Version), Calm,65,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Flute Version).mp3
Soch Na Sake, Calm,75,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Soch Na Sake.mp3
Tum Mile (Love Reprise - Piano Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Love Reprise - Piano Version).mp3
Tum Hi Ho (Santoor Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Santoor Version).mp3
Bol Do Na Zara (Acoustic), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Bol Do Na Zara (Acoustic).mp3
Tum Se Hi (Flute Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Se Hi (Flute Version).mp3
Tum Jo Aaye (Piano Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Piano Version).mp3
Jeene Laga Hoon (Piano Version), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Piano Version).mp3
Tum Mile (Acoustic - Piano Version), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Acoustic - Piano Version).mp3
Tum Hi Ho (Guitar Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Guitar Version).mp3
Tum Jo Aaye (Guitar Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Guitar Version).mp3
Tera Ban Jaunga (Guitar Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Guitar Version).mp3
Tum Mile (Violin Version), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Violin Version).mp3
Jeene Laga Hoon (Violin Version), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Violin Version).mp3
Tum Hi Ho (Tabla Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Tabla Version).mp3
Tum Jo Aaye (Tabla Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Tabla Version).mp3
Tum Mile (Tabla Version), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Tabla Version).mp3
Jeene Laga Hoon (Tabla Version), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Tabla Version).mp3
Tum Hi Ho (Sitar Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Sitar Version).mp3
Tum Jo Aaye (Sitar Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Sitar Version).mp3
Tum Mile (Sitar Version), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Sitar Version).mp3
Jeene Laga Hoon (Sitar Version), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Sitar Version).mp3
Tum Hi Ho (Harmonica Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Harmonica Version).mp3
Tum Jo Aaye (Harmonica Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Harmonica Version).mp3
Tum Mile (Harmonica Version), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Harmonica Version).mp3
Jeene Laga Hoon (Harmonica Version), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Harmonica Version).mp3
Tum Hi Ho (Piano and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Piano and Violin Duet).mp3
Tum Jo Aaye (Piano and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Piano and Violin Duet).mp3
Tum Mile (Piano and Violin Duet), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Piano and Violin Duet).mp3
Jeene Laga Hoon (Piano and Violin Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Piano and Violin Duet).mp3
Tum Hi Ho (Piano and Sitar Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Piano and Sitar Duet).mp3
Tum Jo Aaye (Piano and Sitar Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Piano and Sitar Duet).mp3
Tum Mile (Piano and Sitar Duet), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Piano and Sitar Duet).mp3
Jeene Laga Hoon (Piano and Sitar Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Piano and Sitar Duet).mp3
Tum Hi Ho (Guitar and Flute Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Guitar and Flute Duet).mp3
Tum Jo Aaye (Guitar and Flute Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Guitar and Flute Duet).mp3
Tum Mile (Guitar and Flute Duet), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Guitar and Flute Duet).mp3
Jeene Laga Hoon (Guitar and Flute Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Guitar and Flute Duet).mp3
Tum Hi Ho (Flute and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Flute and Violin Duet).mp3
Tum Jo Aaye (Flute and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Flute and Violin Duet).mp3
Tum Mile (Flute and Violin Duet), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Flute and Violin Duet).mp3
Tum Jo Mile, Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Mile.mp3
Tum Mile (Saxophone Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Saxophone Version).mp3
Tum Hi Ho (Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Rendition).mp3
Tum Jo Aaye (Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Rendition).mp3
Tera Ban Jaunga (Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Rendition).mp3
Jeene Laga Hoon (Rendition), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Rendition).mp3
Tum Mile (Piano Rendition), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Piano Rendition).mp3
Tum Hi Ho (Sitar Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Sitar Rendition).mp3
Tum Jo Aaye (Flute Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Flute Rendition).mp3
Tera Ban Jaunga (Guitar Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Guitar Rendition).mp3
Jeene Laga Hoon (Violin Rendition), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Violin Rendition).mp3
Tum Mile (Chillout Saxophone Mix), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Chillout Saxophone Mix).mp3
Tum Hi Ho (Chillout Mix), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Chillout Mix).mp3
Tum Jo Aaye (Chillout Version), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Chillout Version).mp3
Tera Ban Jaunga (Chillout Mix), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Chillout Mix).mp3
Jeene Laga Hoon (Chillout Version), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Chillout Version).mp3
Tum Mile (Santoor Rendition), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Santoor Rendition).mp3
Tum Hi Ho (Piano and Saxophone Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Piano and Saxophone Duet).mp3
Tum Jo Aaye (Guitar and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Guitar and Violin Duet).mp3
Tera Ban Jaunga (Flute and Piano Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Flute and Piano Duet).mp3
Jeene Laga Hoon (Sitar and Flute Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Sitar and Flute Duet).mp3
Tum Mile (Piano and Violin Rendition), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Piano and Violin Rendition).mp3
Tum Hi Ho (Guitar and Sitar Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Guitar and Sitar Duet).mp3
Tum Jo Aaye (Tabla and Flute Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Tabla and Flute Duet).mp3
Tera Ban Jaunga (Saxophone and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Saxophone and Violin Duet).mp3
Jeene Laga Hoon (Piano and Sitar Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Piano and Sitar Duet).mp3
Tum Mile (Calm Saxophone Mix), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Calm Saxophone Mix).mp3
Tum Hi Ho (Flute and Saxophone Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Flute and Saxophone Duet).mp3
Tum Jo Aaye (Saxophone and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Saxophone and Violin Duet).mp3
Tera Ban Jaunga (Piano and Flute Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Piano and Flute Duet).mp3
Jeene Laga Hoon (Guitar and Violin Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Guitar and Violin Duet).mp3
Tum Mile (Flute and Sitar Duet), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Flute and Sitar Duet).mp3
Tum Hi Ho (Piano and Guitar Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Piano and Guitar Duet).mp3
Tum Jo Aaye (Sitar and Flute Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Sitar and Flute Duet).mp3
Tera Ban Jaunga (Guitar and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Guitar and Violin Duet).mp3
Jeene Laga Hoon (Saxophone and Piano Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Saxophone and Piano Duet).mp3
Tum Mile (Chillout Saxophone Mix), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Chillout Saxophone Mix).mp3
Tum Hi Ho (Piano Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Piano Rendition).mp3
Tum Jo Aaye (Flute Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Flute Rendition).mp3
Tera Ban Jaunga (Guitar Rendition), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Guitar Rendition).mp3
Jeene Laga Hoon (Violin Rendition), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Violin Rendition).mp3
Tum Mile (Chillout Saxophone Mix), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Chillout Saxophone Mix).mp3
Tum Hi Ho (Piano and Saxophone Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Piano and Saxophone Duet).mp3
Tum Jo Aaye (Guitar and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Guitar and Violin Duet).mp3
Tera Ban Jaunga (Flute and Piano Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Flute and Piano Duet).mp3
Jeene Laga Hoon (Sitar and Flute Duet), Calm,72,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Jeene Laga Hoon (Sitar and Flute Duet).mp3
Tum Mile (Piano and Violin Rendition), Calm,68,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Mile (Piano and Violin Rendition).mp3
Tum Hi Ho (Guitar and Sitar Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Hi Ho (Guitar and Sitar Duet).mp3
Tum Jo Aaye (Tabla and Flute Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tum Jo Aaye (Tabla and Flute Duet).mp3
Tera Ban Jaunga (Saxophone and Violin Duet), Calm,70,C:\Users\mdzaf\OneDrive\Desktop\Data science\Final\Song recommendation system\Extrafiles\Music\Tera Ban Jaunga (Saxophone and Violin Duet).mp3
